name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,property_type,room_type,accommodates,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
New Downtown 2Bedrooms,33,8,3,3011415,Stanley And Sue,3345,within an hour,100,Apartment,Entire home/apt,4,295,300,60,3,90
Chic 2BR Near Boston Common,3,9,3,12243051,Flatbook,2772,within a few hours,71,Loft,Entire home/apt,4,259,400,95,3,1125
New 1 BD Downtown ( B ),36,9,3,3011415,Stanley And Sue,3345,within an hour,100,Apartment,Entire home/apt,3,185,200,60,3,1125
Roomy 2BR close to Boston Common,1,10,3,12243051,Flatbook,2772,within a few hours,71,Loft,Entire home/apt,4,269,400,95,3,1125
Downtown Back Bay Studio W/Parking,58,9,3,5618949,Alan,3098,within an hour,100,Apartment,Entire home/apt,4,109,100,40,1,1125
2BR Downtown Boston,30,8,3,3011415,Stanley And Sue,3345,within an hour,100,Apartment,Entire home/apt,4,295,300,60,3,1125
4BR & 2BA Downtown: Combine 2 units,8,10,3,3011415,Stanley And Sue,3345,within an hour,100,Apartment,Entire home/apt,8,375,400,120,4,1125
Convenient 2bd Downtown Apt,55,9,2,22591136,Hasan Oguz,2529,within an hour,98,Apartment,Entire home/apt,6,296,100,69,1,1125
"Room+Pvt Bathroom, Heart of Boston",80,10,3,14007443,Sarah,2720,within an hour,100,Apartment,Private room,2,159,200,20,1,31
Cozy Chinatown/South End Studio,20,9,2,15192564,Christina,2691,within a few hours,92,Apartment,Entire home/apt,3,125,400,10,2,1125
Spacious Room - Chinatown Apartment,5,10,3,20436793,Diana,2582,within a day,100,Apartment,Private room,1,100,300,30,1,1125
Downtown / Back Bay 1 Bed W/Parking,40,9,3,5618949,Alan,3098,within an hour,100,Apartment,Entire home/apt,4,149,100,40,2,1125
New 1 BD Downtown ( 1 ),33,9,3,3011415,Stanley And Sue,3345,within an hour,100,Apartment,Entire home/apt,3,250,300,60,3,1125
Spacious Downtown Apt + Courtyard,3,10,3,14007443,Sarah,2720,within an hour,100,Apartment,Entire home/apt,4,179,300,20,1,1125
2BR Lux Apt in Downtown,5,10,3,57677138,Sarra,2050,within a few hours,100,Apartment,Entire home/apt,3,319,1000,100,4,90
North End 2 BR | 1 BA Duplex in Little Italy,7,9,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,6,320,450,100,3,30
Stunning Luxury North End Loft!,140,9,3,10850877,Franklin,2821,within an hour,100,Apartment,Entire home/apt,3,125,250,80,1,1125
"""La Gemma"" - a gem in the North End",57,10,1,18601802,Gina,2615,within a few hours,100,Apartment,Entire home/apt,4,285,1000,80,2,1125
"2BR/2ba Large North End, perfect location!",8,10,2,2042123,Sue,3457,within an hour,80,Apartment,Entire home/apt,5,400,200,155,1,1125
North End Gem,2,8,3,66497629,Daniele,1987,within an hour,100,Apartment,Entire home/apt,8,350,500,75,2,29
Cozy North End Studio - Perfect location!,1,10,2,69106634,Andrea,1970,within a day,100,Apartment,Entire home/apt,2,210,150,40,3,6
Artist 1BR Loft in North End,36,9,2,1723274,James,3509,within an hour,100,Apartment,Entire home/apt,3,159,500,75,1,1125
Private Queen room and Loft with 2 single beds,19,10,2,46702413,Beth,2163,within a few hours,100,House,Private room,4,120,150,25,3,14
Heart of Historic North End,3,7,2,651876,Paulina,3761,within an hour,100,Apartment,Entire home/apt,4,149,500,50,2,1125
Spacious & private in the heart of the north end,4,9,1,65646888,Jeff,1993,within an hour,100,Apartment,Entire home/apt,2,115,100,25,1,1125
"Beth's Place, feel at home.",41,10,2,46702413,Beth,2163,within a few hours,100,House,Private room,2,110,100,25,2,7
New renovation on the Freedom Trail,22,9,2,71536024,Bill,1955,within an hour,100,Apartment,Entire home/apt,4,310,100,80,1,1125
Designer 1BR North End Modern Cove,135,10,2,1723274,James,3509,within an hour,100,Apartment,Entire home/apt,4,159,500,75,1,100
Cozy Nautical North End Apt,4,10,1,79163790,Colleen,1914,within a day,90,Apartment,Entire home/apt,2,120,250,50,3,7
"Best Boston location, 2BR (M#1)",51,9,3,5578043,Dror,3101,within an hour,100,Apartment,Entire home/apt,4,129,300,95,1,365
Lodging at Boston Harbor (2 BR),3,6,2,49726270,Judith,2125,within an hour,80,Apartment,Entire home/apt,5,160,300,75,20,365
Spacious cozy Little Italy,7,10,3,5695034,Elizabeth,3093,within a day,100,Apartment,Private room,2,145,300,25,2,1125
Quiet 1BR in the heart of the North End,5,10,2,1231885,Emily,3639,within an hour,100,Apartment,Entire home/apt,3,131,200,25,1,20
Upscale Faneuil Hall / N. End Oasis,84,9,3,42431392,Frank,2216,within an hour,100,Condominium,Entire home/apt,3,150,500,80,1,1125
Authentic NORTH END 3br! Lil Italy!,15,9,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,9,200,99,60,1,1125
Boston Huge 1BR Best location (h2b),43,9,3,5578043,Dror,3101,within an hour,100,Apartment,Entire home/apt,5,109,300,85,1,365
2 bedroom condo in Downtown Boston,42,9,2,2006852,Jay,3463,within an hour,100,Apartment,Entire home/apt,4,180,150,80,4,33
Cozy and Quiet North End Duplex 1 Bedroom,1,10,3,35742537,Tanya,2287,within an hour,100,Apartment,Entire home/apt,4,250,150,100,4,1125
Private room off the Freedom Trail.,160,9,3,1144302,Howard,3659,within an hour,100,House,Private room,5,69,300,60,3,1825
GORGEOUS WATER FRT NORTH END STUDIO,190,9,1,4737456,Paolo,3165,within a few hours,100,Apartment,Entire home/apt,4,125,200,50,2,30
Immaculate in the North End,75,9,2,31804748,Dave,2339,within an hour,100,Apartment,Entire home/apt,4,380,100,80,2,1125
Historic North End Modern 2 Bed,72,10,3,45037374,Stephen,2185,within an hour,100,Apartment,Entire home/apt,4,220,250,75,2,1125
Boston/gym/family friendly,5,10,3,29859334,Joy,2370,within a day,70,Apartment,Entire home/apt,4,180,250,80,3,30
Beautiful North End 1BR Apartment,8,10,3,5717433,Camille,3091,within an hour,100,Apartment,Entire home/apt,2,140,500,50,1,1125
North End - Little Italy,80,9,3,9247845,Panagioti & Suzy,2904,within an hour,100,Apartment,Entire home/apt,2,200,100,50,1,1125
Spacious North End 1 BR | 1BA,67,10,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,4,199,450,80,3,45
"New, bright, clean,  2 bedroom, amazing location!!",11,9,3,3137257,Furnished Rentals,3333,within a few hours,97,Condominium,Entire home/apt,6,225,500,140,3,1125
Large 2 BR | 1BA in the North End,48,10,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,6,325,450,100,2,60
Historic Boston North End Condo,73,10,3,11132080,Cindy & Mark,2809,within an hour,100,Apartment,Entire home/apt,4,175,200,95,4,1125
Boston  Best One Bdrm duplex (h2c),49,9,3,5578043,Dror,3101,within an hour,100,Apartment,Entire home/apt,3,99,300,85,1,1125
North End Get Away!,22,9,2,23631661,Brie,2502,within a few hours,100,Apartment,Entire home/apt,2,165,95,25,3,1125
Boston  Little Italy 2 Bdrms  (H2d),68,9,3,5578043,Dror,3101,within an hour,100,Apartment,Entire home/apt,6,179,300,95,1,1125
"Historic 1 BDRM, 20 Steps From Old North Church",19,9,2,57064175,Sonia,2055,within an hour,100,Apartment,Entire home/apt,4,152,150,125,3,1125
North End Gem!,36,9,3,66497629,Daniele,1987,within an hour,100,Townhouse,Private room,4,175,350,50,1,30
"Best Boston location, 2BR (M #3)",47,9,3,5578043,Dror,3101,within an hour,100,Apartment,Entire home/apt,4,139,300,95,1,365
Luxury 2brm/2bath apt in North End,64,9,3,2006852,Jay,3463,within an hour,100,Apartment,Entire home/apt,4,255,300,85,1,1125
"Best Boston location, 2BR (M #2)",45,8,3,5578043,Dror,3101,within an hour,100,Apartment,Entire home/apt,4,119,300,90,1,365
AIR LUXE: APARTMENT @ CORNER OF LUXURY & HISTORY,18,10,3,43384196,Alexa,2205,within a day,100,Apartment,Entire home/apt,2,275,250,100,2,1125
"Best Boston location, 2BR (M #4)",27,9,3,5578043,Dror,3101,within an hour,100,Apartment,Entire home/apt,4,139,300,90,1,365
Boston Best furnished Studio (H2a),73,9,3,5578043,Dror,3101,within an hour,100,Apartment,Entire home/apt,2,99,300,75,1,365
Little Italy spacious apartment,41,9,3,5695034,Elizabeth,3093,within a day,100,Apartment,Entire home/apt,2,135,275,25,2,25
North End Apt. w/ a view!,20,10,1,36670279,Susan,2277,within an hour,100,Apartment,Entire home/apt,5,200,500,50,2,1125
North End flat just off Hanover Street,9,10,1,1386951,Todd,3601,within a few hours,100,Apartment,Entire home/apt,2,200,150,75,2,90
North End 1 BR Gem in Little Italy,30,10,3,9410008,Jason,2896,within an hour,100,Apartment,Entire home/apt,4,195,375,80,2,45
North End - Salem St - Harbor,1,8,3,10250257,Caroline,2853,within a few hours,100,Apartment,Entire home/apt,4,235,250,75,3,1125
Downtown Boston | Modern 1 Bedroom | The North End,2,9,3,1118374,Matthew,3664,within an hour,100,Apartment,Entire home/apt,3,195,199,35,1,365
"Sweet Spot, Fort hill",2,8,3,31035017,Jason,2351,within an hour,100,Apartment,Entire home/apt,2,145,100,8,1,1125
Spacious 3BR in South End,2,8,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,6,209,400,95,3,1125
Spacious private bedroom in house,2,10,3,1037913,Derek,3671,within an hour,100,House,Private room,2,90,100,25,4,180
Lovely South End 1 bedroom,27,9,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,4,167,500,100,2,1125
High End South End Loft/Silver Line,1,10,3,10778805,Paul,2825,within a few hours,100,Condominium,Private room,1,75,200,100,30,120
"Beautiful 2 Bedroom Apt, South End",52,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,6,265,500,125,2,1125
Modern Studio Apartment - South End,55,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,4,150,500,100,2,1125
Newly Renovated 2 Bed in South End,49,9,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,6,275,500,125,2,1125
Convenient 1 bedroom on Tremont St,54,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,4,167,500,100,2,1125
lovely sunny room in Boston,18,8,2,212445,Emma,4041,within an hour,100,Apartment,Private room,2,65,300,50,1,1125
Brownstone Cozy Private Studio,163,9,2,11228809,Jonathan,2805,within a few hours,100,Apartment,Entire home/apt,2,135,350,25,2,1125
Large Sunny room in Boston,9,9,2,212445,Emma,4041,within an hour,100,Apartment,Private room,2,65,300,50,3,180
Modern living in a conveniently located brownstone,4,10,2,5654336,Bill,3096,within an hour,100,Apartment,Entire home/apt,2,125,300,50,2,1125
"Small Rm, Renovated House, EZ to Downtown/Longwood",1,10,3,18517776,Huggy,2615,within a day,93,Apartment,Private room,1,33,300,50,30,1125
Private room in Boston,3,8,1,76032537,Chuyang,1930,within a few hours,100,Apartment,Private room,1,52,100,10,1,1125
Wonderful Boston apartment- 8 people,5,8,3,39932301,Ilan,2242,within an hour,100,Apartment,Entire home/apt,8,236,250,100,1,1125
Desirable 3 Bed/2 Bath in South End,60,9,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,7,330,500,125,2,1125
3 bedroom Garden Apt in South End,43,9,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,6,300,500,125,2,1125
Boston Executive Whole Apartment,34,8,2,9663343,Sarah,2882,within an hour,100,Apartment,Entire home/apt,8,179,100,20,1,1125
Spacious 2 family w/Room to Spare,88,9,3,841314,Kathe/Fanny/Candice,3713,within a few hours,90,House,Private room,2,60,100,20,3,365
"Charming urban studio, free parking",82,10,2,25742899,Tyree,2445,within a day,90,House,Entire home/apt,2,110,100,30,1,365
Garden Apt - Highland Park/Fort Hill (Orange Line),7,10,1,22901863,Ziyad,2521,within an hour,100,Apartment,Entire home/apt,2,114,250,35,2,90
Parking EZ 2 Downtown/Longwood Larg,4,10,3,18517776,Huggy,2615,within a day,93,Apartment,Private room,1,39,300,50,30,1125
Brownstone Custom Bedroom,14,10,2,11228809,Jonathan,2805,within a few hours,100,Apartment,Private room,2,95,400,25,2,1125
3BR/1.5BA + Prvt Patio - Boston,24,9,2,20113039,Yilkal,2589,within an hour,100,Apartment,Entire home/apt,10,269,500,199,1,1125
Stylish 2BR in Lower Roxbury,2,9,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,4,229,400,95,3,1125
Elegant Urban Art-Filled Victorian,105,9,3,807320,Kate,3721,within a day,100,House,Entire home/apt,10,150,500,80,2,5
Chic 3BR in Lower Roxbury,3,10,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,6,229,400,95,3,1125
Brownstone Modern Bedroom ,78,10,2,11228809,Jonathan,2805,within a few hours,100,Apartment,Private room,1,92,400,25,2,1125
Brownstone Master Bedroom Suite,85,10,2,11228809,Jonathan,2805,within a few hours,100,Apartment,Private room,2,125,400,25,2,1125
Brownstone Serene Guest BR/Bath,31,9,2,45824409,Jonathan,2174,within a day,100,Townhouse,Private room,2,90,250,20,3,1125
Splendid Tremont St. 1 bedroom,65,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,4,163,500,100,2,1125
Private room in Boston,25,9,2,212445,Emma,4041,within an hour,100,Apartment,Private room,2,65,300,50,3,400
Parking Close 2 Downtown Renovated,4,9,3,18517776,Huggy,2615,within a day,93,Apartment,Private room,1,40,300,50,30,1500
4 Beds 2 Baths in Luxury Brownstone,1,8,2,11228809,Jonathan,2805,within a few hours,100,Apartment,Entire home/apt,8,625,1200,150,2,1125
High ceiling studio in the South End,3,10,1,20322644,Katherine,2585,within a few hours,100,Apartment,Entire home/apt,4,200,200,50,2,1125
Brownstone Cozy Penthouse Suite,38,10,2,45824409,Jonathan,2174,within a day,100,Apartment,Private room,2,90,250,20,3,1125
Cozy Rm EZ St Parking EZ 2 downtown,3,9,3,18517776,Huggy,2615,within a day,93,Apartment,Private room,1,35,300,50,30,2000
Classic 1 bedroom in South End,63,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,4,167,500,100,2,1125
1 Bedroom in Historic South End,2,10,1,51189915,Lindsey,2105,within a few hours,100,Apartment,Entire home/apt,2,150,200,50,2,5
Brownstone Loft Bedroom,40,9,2,11228809,Jonathan,2805,within a few hours,100,Apartment,Private room,1,81,400,25,2,1125
Gorgeous South End 2 Bed/1.5 Bath,42,9,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,6,250,500,125,2,1125
Sensational South End 2 bedroom,111,9,3,5408229,Liesl,3113,within an hour,100,Apartment,Entire home/apt,4,255,100,80,2,1125
Living Room in ♥︎ of Boston,29,9,3,2254462,Ce,3427,within a few hours,100,Apartment,Shared room,1,75,1500,60,1,1
Fantastic 2 bed/1.5 bath South End,9,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,6,250,500,125,2,1125
Stylish South End Apartment,27,9,3,35331408,Yoshika,2293,within an hour,100,Apartment,Entire home/apt,4,215,250,50,2,1125
1 Bedroom in large Condominium (II),26,10,2,43217109,Javier,2207,within an hour,100,Condominium,Private room,2,125,180,50,2,1125
Very Rare Luxury New Three Bedroom,34,9,3,47889779,Kyle,2147,within an hour,86,Apartment,Entire home/apt,8,373,300,150,2,1125
Rare Luxury Three Bedroom in New Building,1,8,3,6103953,Josh,3066,within an hour,100,Apartment,Entire home/apt,8,525,500,150,2,1125
"Luxe 2BR w/ Skyline Views, Gym",18,9,3,12243051,Flatbook,2772,within a few hours,71,Condominium,Entire home/apt,4,299,400,75,3,1125
Sleek Downtown 1BR by T w/Pool,4,9,3,12243051,Flatbook,2772,within a few hours,71,Condominium,Entire home/apt,2,269,400,95,3,1125
"Luxe 1BR in South End w/ Gym, Pool",20,10,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,4,189,400,80,3,1125
TRUE South End PERFECT!!!!,22,9,2,22110106,Chris,2540,within an hour,100,Apartment,Entire home/apt,2,215,300,50,1,60
2BR South End Condo w/Big Windows,19,10,3,12243051,Flatbook,2772,within a few hours,71,Condominium,Entire home/apt,4,279,400,95,3,1125
"Luxe South End 1BR w/ Pool, Gym",14,10,3,12243051,Flatbook,2772,within a few hours,71,Condominium,Entire home/apt,4,289,400,75,3,1125
Coolest new building in Boston,51,9,2,6103953,Josh,3066,within an hour,100,Apartment,Entire home/apt,4,154,300,90,2,1125
Really Cool Lux Building in Boston,42,10,2,47889779,Kyle,2147,within an hour,86,Apartment,Entire home/apt,6,236,250,99,2,1125
Parlor South End charm with deck,54,9,3,38611099,Vika,2256,within a few hours,100,Apartment,Entire home/apt,4,175,250,80,2,90
Lux City Pad 2/2 with huge terrace!,57,9,2,6103953,Josh,3066,within an hour,100,Apartment,Entire home/apt,6,234,300,99,1,1125
Sleek 2BR w/ Expansive Views & Pool,29,9,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,4,329,400,100,3,1125
Brand New Luxury 1BR in South End,1,8,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,4,209,400,95,3,1125
Charming and Bright South End Apt,56,9,2,912631,Gregory,3699,within a few hours,100,Apartment,Entire home/apt,2,195,250,60,3,90
Upscale 1BR w/ Skyline Views,1,10,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,4,169,400,95,3,1125
Efficient Studio - Back Bay/ S. End,12,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,2,138,500,75,2,1125
Penthouse South End with roof deck,35,9,3,19013294,Viktoria,2608,within an hour,100,Apartment,Entire home/apt,4,195,250,50,2,1125
Quiet 2 bedroom South End Condo,2,10,3,56744818,Bridget,2057,within an hour,100,Condominium,Entire home/apt,3,250,100,60,2,1125
Stylish South End 1BR by Flatbook,14,9,3,12243051,Flatbook,2772,within a few hours,71,Condominium,Entire home/apt,4,199,400,95,3,1125
South End Brownstone 1bd/1ba,11,9,2,2405780,Erin,3409,within a day,92,Apartment,Entire home/apt,2,185,150,75,3,1125
Spacious S. End 1BD Brownstone,39,9,3,7964081,Gabriella,2965,within an hour,100,Apartment,Entire home/apt,2,175,150,25,1,1125
Private & Spacious South End Suite,4,10,2,90491687,John,1857,within an hour,100,Condominium,Private room,3,125,100,30,1,90
"South End, sunny, quiet, 1 bedroom condo",1,10,1,10757098,Kit,2826,within a few hours,100,Apartment,Entire home/apt,2,150,500,50,5,120
Sunny South End Brownstone,42,10,2,16681075,Sean,2655,within an hour,100,Apartment,Entire home/apt,3,265,500,55,2,1125
"Parlor Retreat, South End studio",15,9,3,5430185,Laura,3111,within an hour,100,Apartment,Entire home/apt,2,160,400,200,32,1125
Modern Duplex in South End,20,10,3,4776690,Dan,3162,within an hour,100,Apartment,Entire home/apt,3,99,400,75,2,1125
Sunny Studio in Heart of South End,8,10,1,42868503,Thiago,2211,within a day,80,Apartment,Entire home/apt,2,125,200,45,1,1125
Beautiful South End Penthouse!,66,10,3,20627610,Liri,2578,within a few hours,100,Apartment,Entire home/apt,3,235,200,70,2,1125
Sunny studio in Back Bay/So. End,55,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,2,100,500,75,2,1125
New 1 Bed Flat - South End,39,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,2,164,500,100,3,365
South End townhouse apt with deck,37,9,3,38611099,Vika,2256,within a few hours,100,Apartment,Entire home/apt,4,185,250,80,2,30
Ideal studio in the Back Bay/S. End,21,8,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,2,225,500,75,2,1125
Cozy South End Apt in best location,6,10,3,22543302,Christopher,2530,within an hour,100,Condominium,Entire home/apt,3,115,100,35,4,1125
South End Studio with Sleeping Loft,18,9,2,2212661,Lauren,3433,within an hour,100,Apartment,Entire home/apt,4,170,200,40,4,365
Bright 2BR in Heart of South End,9,7,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,4,229,400,95,3,1125
"Views, Amenities, Location, Bingo!",11,10,3,3958442,Jp,3251,within a few hours,100,Apartment,Entire home/apt,4,200,250,40,1,1125
Efficient Studio - Back Bay/S. End,39,8,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,2,100,500,75,2,1125
2Bed2BathDplx 43Bus to BestBosSites,192,10,3,1651480,Edward,3523,within an hour,100,Apartment,Entire home/apt,4,306,150,90,1,85
Bright & beautiful 2BR in best location,5,10,3,7744251,Lisa,2975,within a day,80,Apartment,Entire home/apt,4,229,250,80,3,60
Stylish 1BR in Heart of Boston,4,10,3,12243051,Flatbook,2772,within a few hours,71,Condominium,Entire home/apt,2,199,400,95,3,1125
Trendy Loft in the South End,31,9,3,2883829,George,3357,within an hour,100,Apartment,Entire home/apt,2,225,500,80,2,1125
Romantic B&B - Roof Top Hot Tub,4,10,3,97805,Stephen,4196,within an hour,100,Bed & Breakfast,Private room,2,168,1000,25,1,1125
"1Studio WalkOutToPatio..CloseToBus,T,HistoricSites",192,9,3,1651480,Edward,3523,within an hour,100,Apartment,Entire home/apt,2,183,100,70,2,365
Sleek and Modern in the South End,115,9,3,1015632,Kevin,3677,within an hour,100,Apartment,Entire home/apt,4,190,250,50,2,1125
"Elegant, Historic, sleek renovation",6,10,3,2265368,Daniel,3426,within a few hours,100,Apartment,Entire home/apt,3,210,375,50,4,100
Comfort and peace in the South End.,6,9,1,25124470,Alice,2460,within an hour,100,Condominium,Entire home/apt,7,600,200,125,1,1125
Chic minimal 2BD in south end SOWA,8,9,3,7119092,Prasun,3006,within a few hours,100,Apartment,Entire home/apt,2,149,250,100,1,1125
Sunny Roofdeck Apartment,87,9,2,27015747,Ashley  &  Dennis,2421,within an hour,92,Apartment,Private room,2,150,200,25,2,21
1 BR / 1 BA Penthouse - South End,3,9,1,61279591,Mike,2025,within a few hours,100,Apartment,Entire home/apt,2,200,200,25,1,1125
S.END: Huge industrial cool condo!!,30,10,2,51741798,Jen,2099,within a few hours,100,Apartment,Entire home/apt,4,170,200,50,2,1125
"zzEastPrivateBedBath MinsToBus,Metro,HistoricSites",96,9,3,1651480,Edward,3523,within an hour,100,Apartment,Private room,2,157,150,45,2,90
1 Bedroom in Condominium (III),15,10,2,43217109,Javier,2207,within an hour,100,Condominium,Private room,2,110,180,50,2,1125
Luxurious penthouse living!!,19,10,3,36559227,Justin,2278,within an hour,100,Townhouse,Entire home/apt,4,575,500,125,2,7
"Boston, South End - 1 Bedroom (I)",19,10,2,43217109,Javier,2207,within an hour,100,Condominium,Private room,2,110,180,50,2,1125
Historical Southend apartment,38,10,3,14535919,Paul,2706,within a few hours,100,Apartment,Entire home/apt,4,200,250,100,3,1125
Marvelous South End 2.5 bed/ 2.5 ba,39,9,3,814298,Brent,3719,within a few hours,98,Apartment,Entire home/apt,8,417,500,135,4,1125
Stunning SouthEnd/BackBay Penthouse,38,10,3,21609039,Susan,2553,within an hour,100,Condominium,Entire home/apt,4,600,500,80,2,180
3Bed/2.5Bath Luxury Triplex So. End,26,9,3,9485021,Stacy,2892,within a few hours,100,Apartment,Entire home/apt,8,800,1000,200,5,1125
"Boston, South End - 3 Bedrooms",1,8,2,43217109,Javier,2207,within an hour,100,Condominium,Entire home/apt,5,299,400,175,4,1125
"Victorian Charm, Modern Living: South End/Back Bay",1,10,2,34055750,Philip And Ann,2309,within a few hours,100,Condominium,Entire home/apt,4,275,500,99,2,1125
Safe Clean Convenient ♥ Heart of Boston,55,9,3,2254462,Ce,3427,within a few hours,100,Apartment,Private room,2,99,1500,65,2,1125
South End Beauty/1+ beds/1.5 baths,2,10,2,52081526,Thomas,2095,within a few hours,100,Apartment,Entire home/apt,4,250,250,30,3,1125
Large 2 Bedrooms Boston South End,3,8,3,4897723,Sina,3153,within a day,100,Apartment,Entire home/apt,4,200,800,80,1,1125
Boston Centrally Located Brownstone,29,10,3,66371429,Eve,1988,within a few hours,100,Apartment,Private room,2,119,299,39,1,1125
"Victorian Dream Studio, South End",19,9,3,5430185,Laura,3111,within an hour,100,Apartment,Entire home/apt,2,170,400,200,32,1125
Nice South End Condo.,24,10,3,29806038,Jason,2371,within a few hours,100,Apartment,Entire home/apt,3,225,200,60,2,30
Ideal Studio in Back Bay/S. End,13,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,2,144,500,75,2,1125
Modern studio in Boston’s South End,2,10,3,2976895,Abdin,3348,within a few hours,100,Apartment,Entire home/apt,1,170,300,60,4,20
"zWestPrivateBedBath MinsToBus,Metro",21,9,3,1651480,Edward,3523,within an hour,100,Apartment,Private room,2,217,150,45,2,87
Fashionable South End Condo,26,9,1,43449123,Patrick,2204,within an hour,100,Apartment,Entire home/apt,4,240,250,100,2,1125
Serene in the South End,8,8,3,5430185,Laura,3111,within an hour,100,Apartment,Entire home/apt,2,160,400,200,27,1100
1 bedroom apt in Boston South End,24,10,3,44392534,Nick,2192,within a few hours,100,Apartment,Entire home/apt,2,175,1000,50,1,1125
South End studio with private patio,13,10,2,49104276,Dan & Daniela,2133,within a few hours,100,Apartment,Entire home/apt,2,228,750,25,2,5
"South End Private Garden, Free Parking",3,9,3,41661623,Christopher,2224,within an hour,100,Apartment,Entire home/apt,3,161,200,50,2,1125
South End Artist Loft in SOWA,4,7,3,271917,Sheryl,3979,within a few hours,100,Condominium,Entire home/apt,5,300,1000,125,2,1125
Cool Boston Crib. Awesome Building,27,9,2,6103953,Josh,3066,within an hour,100,Apartment,Entire home/apt,6,177,300,99,2,1125
"Boutique South End, with sunshine",16,9,3,5430185,Laura,3111,within an hour,100,Apartment,Entire home/apt,2,185,400,200,32,365
Boston South End - Multiple Rooms,3,9,2,43217109,Javier,2207,within an hour,100,Condominium,Private room,2,125,180,50,2,1125
Fantastic 2 bed South End duplex!,3,10,2,26164941,Paul,2437,within a day,100,Apartment,Entire home/apt,2,150,100,100,1,1125
Sunny Studio in Back Bay/ S. End,20,8,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,2,122,500,75,2,1125
2 BR Apt Boston South End,4,10,3,4897723,Sina,3153,within a day,100,Apartment,Entire home/apt,4,200,600,80,1,1125
"Great Spot - South End, 2 BR Condo",3,10,1,64837202,Kim,1999,within a day,100,Condominium,Entire home/apt,2,350,500,60,2,1125
Stay in the heart of South End!,62,10,2,7422781,Christine,2990,within a few hours,100,Apartment,Entire home/apt,2,80,100,40,1,7
"BMC, Symphony T, NE, BU, Berklee!!",22,10,3,21184200,Paige,2564,within an hour,99,Apartment,Entire home/apt,8,188,199,65,2,1125
South End 1 Bedroom PERFECTION!,16,9,2,22110106,Chris,2540,within an hour,100,Apartment,Entire home/apt,2,215,300,50,1,1125
Brownstone on Charming Dead End St.,8,10,3,32870796,Jessica,2325,within a few hours,90,Apartment,Entire home/apt,2,300,500,50,2,300
Classic Boston Brownstone,9,10,3,10115868,Dave,2859,within an hour,100,Apartment,Entire home/apt,5,250,250,50,3,1125
"Private Roof-Deck, South End PH Apt",6,10,3,28972872,Marc,2385,within an hour,100,Apartment,Entire home/apt,2,200,250,65,1,1125
Great room in Boston's South End,6,9,3,4897723,Sina,3153,within a day,100,Apartment,Private room,2,119,200,15,1,1125
Best Location in Boston (Copley Sq),18,9,2,22891260,Petar,2521,within an hour,100,Apartment,Entire home/apt,3,200,400,60,2,8
Luxury One Bed in Coolest Building!,43,9,2,47889779,Kyle,2147,within an hour,86,Apartment,Entire home/apt,4,130,250,99,2,1125
One Bedroom Parlor Townhouse,4,7,1,53603592,Ingrid,2081,within a few hours,70,House,Entire home/apt,4,220,150,100,1,1125
Gorgeous 2Bed in Historic South End,5,10,2,22288672,Heather,2536,within a day,100,Condominium,Entire home/apt,5,280,500,100,2,1125
Classic 2 Bed/1.5 Bath in South End,37,9,3,1444340,Will,3583,within a day,98,Apartment,Entire home/apt,6,235,500,125,2,1125
