name,number_of_reviews,review_scores_value,cancellation_policy,host_id,host_name,host_for_x_days,host_response_time,host_response_rate,property_type,room_type,accommodates,price,security_deposit,cleaning_fee,minimum_nights,maximum_nights
"Packards Corner, private 1BR ,Amazing location",3,9,2,41259192,Akshay,2228,within an hour,100,Apartment,Private room,2,52,100,10,1,1125
Comfortable Queen Size Bed Room,64,9,3,5235073,Yu-Chen,3125,within an hour,100,Apartment,Private room,2,59,100,20,1,1125
Spacious Studio w/ Gym in Brighton,10,9,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,2,139,400,80,3,1125
Private Room Queen Anne Victorian,1,10,3,32304279,Charles And Grace,2332,within an hour,100,House,Private room,2,128,500,80,7,28
Pristine Modern 2BR next to Harvard,21,9,3,12243051,Flatbook,2772,within a few hours,71,Apartment,Entire home/apt,6,269,300,80,3,1125
Spacious and Quiet Room,9,9,2,4240,Giuseppe,4693,within a few hours,90,Apartment,Private room,1,40,100,50,7,1125
Cozy Room in Basement Near Subway,34,9,3,5235073,Yu-Chen,3125,within an hour,100,Apartment,Private room,2,69,100,20,1,1125
near Harvard business School,2,10,1,52133887,Hongjin,2095,within an hour,100,Apartment,Private room,2,50,100,6,2,6
"Allston, close to Harvard Business School + BU D",32,10,1,19548932,Joe,2599,within an hour,100,House,Private room,2,75,100,35,1,1125
"3B2B parking,MIT/Havard,BU,Fenway, near 2T station",38,9,3,19008767,Ellen,2609,within an hour,100,Apartment,Entire home/apt,8,329,100,90,1,1125
Big Room at Brookline Hill in Boston,4,9,2,45902201,Wencai,2173,within a few hours,100,Apartment,Private room,1,39,100,20,1,1125
It's always more fun on the water,4,10,2,28364516,Ryan,2396,within a few hours,100,Boat,Private room,7,229,500,100,2,1125
6# Minutes to Boston-Basic Bedroom,8,9,3,6331373,Quinn-May,3051,within an hour,100,House,Private room,2,72,100,20,1,180
